name	season
別冊オリンピア・キュクロス	2020年春
神之塔 -Tower of God-	2020年春
MARS RED	2021年春
宇崎ちゃんは遊びたい！	2020年夏
ラブライブ！スーパースター!!	2021年夏
LISTENERS	2020年春
富豪刑事 Balance:UNLIMITED	2020年夏
ログ・ホライズン 円卓崩壊	2021年冬
恋と呼ぶには気持ち悪い	2021年春
デジモンアドベンチャー：	2020年夏
ふしぎの国のアリス	1983年秋
UFO戦士ダイアポロン	1976年春
不滅のあなたへ	2021年春
あしたへアタック！	1977年春
若草のシャルロット	1977年秋
くまクマ熊ベアー	2020年秋
オルタンシア・サーガ	2021年冬
ハクション大魔王2020	2020年春
バック・アロウ	2021年冬
ソードアート・オンライン アリシゼーション War of Underworld ‐THE LAST SEASON‐	2020年夏
炎炎ノ消防隊 弐ノ章	2020年夏
真・中華一番！ 第2期	2021年冬
ノー・ガンズ・ライフ 第2期	2020年夏
ひげを剃る。そして女子高生を拾う。	2021年春
文豪とアルケミスト 〜審判ノ歯車〜	2020年春
BEASTARS 第2期	2021年冬
食戟のソーマ 豪ノ皿	2020年夏
憂国のモリアーティ	2020年秋
怪物事変	2021年冬
ぼくたちのリメイク	2021年夏
困ったじいさん	2020年春
ワールドトリガー 2ndシーズン	2021年冬
ラブライブ！虹ヶ咲学園スクールアイドル同好会	2020年秋
Lapis Re:LiGHTs ラピスリライツ	2020年夏
彼女、お借りします	2020年夏
ブレーカーズ	2020年冬
はてな☆イリュージョン	2020年冬
Dr.STONE STONE WARS	2021年冬
犬と猫どっちも飼ってると毎日たのしい	2020年秋
IDOLY PRIDE	2021年冬
王様ランキング	2021年秋
本好きの下剋上 司書になるためには手段を選んでいられません 第2部	2020年春
『ヒプノシスマイク -Division Rap Battle-』Rhyme Anima	2020年秋
スケートリーディング☆スターズ	2021年冬
社長、バトルの時間です！	2020年春
りばあす	2020年冬
SHOW BY ROCK!! ましゅまいれっしゅ!!	2020年冬
呪術廻戦	2020年秋
回復術士のやり直し	2021年冬
イエスタデイをうたって	2020年春
おーばーふろぉ	2020年冬
スーパーカブ	2021年春
かくしごと	2020年春
モンスター娘のお医者さん	2020年夏
キングダム 第3シリーズ	2021年春
アルゴナビス from BanG Dream!	2020年春
ド級編隊エグゼロス	2020年夏
うらみちお兄さん	2021年夏
キミと僕の最後の戦場、あるいは世界が始まる聖戦	2020年秋
かぐや様は告らせたい？～天才たちの恋愛頭脳戦～	2020年春
魔女の旅々	2020年秋
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語	2021年冬
スライム倒して300年、知らないうちにレベルMAXになってました	2021年春
ドラゴン、家を買う。	2021年春
メジャーセカンド 第2シリーズ	2020年春
弱キャラ友崎くん	2021年冬
天晴爛漫！	2020年夏
アサルトリリィ BOUQUET	2020年秋
波よ聞いてくれ	2020年春
群れなせ！シートン学園	2020年冬
魔法科高校の劣等生 来訪者編	2020年秋
魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～	2020年夏
ピーター・グリルと賢者の時間	2020年夏
ダンジョンに出会いを求めるのは間違っているだろうか III	2020年秋
エイリは王さま！	2019年秋
魔王城でおやすみ	2020年秋
フルーツバスケット 2nd Season	2020年春
ランウェイで笑って	2020年冬
新サクラ大戦 the Animation	2020年春
ギャルと恐竜	2020年秋
池袋ウエストゲートパーク	2020年秋
アイカツオンパレード！	2019年秋
ミュークルドリーミー	2020年春
XL上司。	2019年秋
宝石商リチャード氏の謎鑑定	2020年冬
浦島坂田船の日常	2019年秋
神田川JET GIRLS	2019年秋
サクガン	2021年秋
アフリカのサラリーマン	2019年秋
ゾイドワイルド ZERO	2019年秋
ゾンビランドサガ リベンジ	2021年春
織田シナモン信長	2020年冬
アルテ	2020年春
22/7	2020年冬
